Doserate,Latitude,Longitude
0.0812,13.84760983,100.5671675
0.0677,13.8476005,100.5671892
0.0677,13.84758817,100.5672118
0.0624,13.84757367,100.5672323
0.0651,13.8475625,100.5672498
0.0875,13.84755317,100.5672668
0.0762,13.84754217,100.567289
0.0744,13.847533,100.5673023
0.0744,13.8475285,100.567316
0.0493,13.84752017,100.5673235
0.0387,13.8475085,100.5673402
0.0477,13.84749533,100.5673603
0.06,13.84748667,100.5673785
0.0615,13.84747617,100.5674005
0.0615,13.84746083,100.5674243
0.0643,13.84744883,100.5674495
0.0535,13.84744017,100.5674735
0.0525,13.84742783,100.5674963
0.0393,13.84741717,100.567522
0.0646,13.847408,100.567543
0.0646,13.84739983,100.5675642
0.0362,13.84738817,100.5675807
0.0587,13.84738067,100.5675928
0.0409,13.84737567,100.567606
0.0441,13.847366,100.5676112
0.0441,13.84735217,100.5676217
0.0548,13.84734483,100.5676397
0.0715,13.847335,100.5676618
0.0759,13.84732833,100.5676782
0.0635,13.84732183,100.5677002
0.057,13.847308,100.5677237
0.0541,13.84729017,100.5677443
0.0541,13.84727833,100.5677702
0.0653,13.847269,100.5677997
0.0806,13.84725767,100.5678227
0.0411,13.847244,100.5678428
0.0821,13.84724,100.5678687
0.0476,13.84723467,100.5678862
0.0476,13.84721933,100.5678977
0.0841,13.847207,100.567913
0.0739,13.8471965,100.5679343
0.0805,13.84718867,100.5679548
0.0568,13.8471815,100.567977
0.0783,13.84717533,100.5679973
0.0783,13.847163,100.5680083
0.0787,13.84715533,100.5680317
0.069,13.8471535,100.5680502
0.0854,13.84714717,100.5680647
0.0687,13.84714283,100.5680743
0.0687,13.84714133,100.5680818
0.0636,13.84714133,100.5680863
0.0715,13.84714067,100.5680868
0.0573,13.84713933,100.5680947
0.0603,13.84713517,100.5681003
0.0548,13.8471335,100.568105
0.0904,13.84713217,100.5681093
0.0904,13.84713583,100.56811
0.0664,13.84713767,100.5681107
0.0549,13.847132,100.5681122
0.0548,13.84713267,100.5681273
0.0774,13.84712683,100.5681512
0.0923,13.8471185,100.5681703
0.0923,13.84710833,100.5681812
0,13.8471065,100.5681992
0.0863,13.84710683,100.568224
0.0814,13.84710433,100.568247
0.0695,13.84709683,100.5682693
0.0703,13.84709217,100.568292
0.0703,13.84708883,100.5683147
0.0702,13.8470875,100.5683308
0.0797,13.84708267,100.5683442
0.0608,13.8470805,100.568365
0.0718,13.84707417,100.5683822
0.0718,13.84707017,100.5684015
0.0593,13.847071,100.568425
0.0556,13.84706533,100.5684458
0.0532,13.84705167,100.5684625
0.0401,13.847052,100.5684847
0.0423,13.84705317,100.5685043
0.0423,13.8470455,100.5685212
0.0451,13.8470385,100.5685443
0,13.84703767,100.568567
0.0735,13.84703367,100.568588
0.0647,13.84702667,100.568608
0.06,13.847022,100.5686285
0.056,13.84702233,100.568649
0.056,13.847015,100.5686702
0.0585,13.847009,100.5686893
0.042,13.84700683,100.5687093
0.0377,13.8470005,100.5687275
0.0609,13.84699167,100.5687463
0.0423,13.84698967,100.5687665
0.0423,13.84698667,100.568782
0.0395,13.84698083,100.568795
0.0613,13.8469805,100.568811
0.0518,13.84697733,100.5688273
0.0647,13.8469715,100.5688422
0.0453,13.84697367,100.5688657
0.0453,13.8469745,100.5688868
0.0602,13.84696867,100.5689048
0,13.84696983,100.5689233
0.0736,13.84696567,100.5689418
0.0515,13.84695983,100.5689613
